id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
1428705,Eric Clapton Unplugged... Over 30 Years Later,2025,Musica,Estados Unidos,Ingles,6.938,8.0,1
1176176,Jagal Teluh,2025,Terror,Indonesia,Indonesio,6.935,0.0,0
1109086,War 2,2025,Accion,India,Hindi,6.931,0.0,0
1109086,War 2,2025,Aventura,India,Hindi,6.931,0.0,0
1109086,War 2,2025,Suspenso,India,Hindi,6.931,0.0,0
1361638,My Melbourne,2025,Comedia,Australia,Ingles,6.925,0.0,0
1361638,My Melbourne,2025,Drama,Australia,Ingles,6.925,0.0,0
1361638,My Melbourne,2025,Romance,Australia,Ingles,6.925,0.0,0
1052155,Ponyboi,2025,Crimen,Estados Unidos,Ingles,6.923,0.0,0
1052155,Ponyboi,2025,Suspenso,Estados Unidos,Ingles,6.923,0.0,0
1052155,Ponyboi,2025,Drama,Estados Unidos,Ingles,6.923,0.0,0
1422004,Bunny,2025,Drama,Estados Unidos,Ingles,6.913,0.0,0
1414202,Ikimono no kiroku,2025,Sin informacion,Sin informacion,Japones,6.912,0.0,0
1411273,Diddy: The Making of a Bad Boy,2025,Documental,Estados Unidos,Ingles,6.91,6.6,5
1437167,Love Magnolia,2025,Drama,China,Chino,6.907,0.0,0
1159596,Oficina do Diabo,2025,Drama,Brasil,Portugues,6.895,9.0,4
1159596,Oficina do Diabo,2025,Familia,Brasil,Portugues,6.895,9.0,4
1405653,Darkstar,2025,Sin informacion,Sin informacion,Ingles,6.892,0.0,0
1290773,Pororo: Underwater Adventure,2025,Animacion,Corea del Sur,Coreano,6.874,0.0,0
1290773,Pororo: Underwater Adventure,2025,Familia,Corea del Sur,Coreano,6.874,0.0,0
1290773,Pororo: Underwater Adventure,2025,Aventura,Corea del Sur,Coreano,6.874,0.0,0
1290773,Pororo: Underwater Adventure,2025,Fantasia,Corea del Sur,Coreano,6.874,0.0,0
713364,Clown in a Cornfield,2025,Terror,Estados Unidos,Ingles,6.874,0.0,0
713364,Clown in a Cornfield,2025,Misterio,Estados Unidos,Ingles,6.874,0.0,0
713364,Clown in a Cornfield,2025,Suspenso,Estados Unidos,Ingles,6.874,0.0,0
1219537,The Three Investigators and The Carpathian Dog,2025,Familia,Alemania,Aleman,6.868,5.7,17
1219537,The Three Investigators and The Carpathian Dog,2025,Crimen,Alemania,Aleman,6.868,5.7,17
1409235,Las Ilusyunadas,2025,Drama,Filipinas,tl,6.863,4.0,2
1417210,The Truth is Murky,2025,Suspenso,China,Chino,6.859,0.0,0
1417210,The Truth is Murky,2025,Misterio,China,Chino,6.859,0.0,0
1417210,The Truth is Murky,2025,Drama,China,Chino,6.859,0.0,0
800367,The Actor,2025,Drama,Estados Unidos,Ingles,6.857,0.0,0
800367,The Actor,2025,Misterio,Estados Unidos,Ingles,6.857,0.0,0
800367,The Actor,2025,Suspenso,Estados Unidos,Ingles,6.857,0.0,0
1209511,Love Insurance Kompany,2025,Ciencia Ficcion,India,Tamil,6.856,0.0,0
1209511,Love Insurance Kompany,2025,Romance,India,Tamil,6.856,0.0,0
1209511,Love Insurance Kompany,2025,Comedia,India,Tamil,6.856,0.0,0
1358571,Hindi Vindi,2025,Drama,Australia,Ingles,6.847,0.0,0
1358571,Hindi Vindi,2025,Musica,Australia,Ingles,6.847,0.0,0
1235945,The Dog,2025,Suspenso,Polonia,Polaco,6.823,0.0,0
1235945,The Dog,2025,Misterio,Polonia,Polaco,6.823,0.0,0
1235945,The Dog,2025,Drama,Polonia,Polaco,6.823,0.0,0
1416904,This Is the Tom Green Documentary,2025,Documental,Canada,Ingles,6.811,7.4,5
758923,Baaghi 4,2025,Accion,India,Hindi,6.805,0.0,0
758923,Baaghi 4,2025,Drama,India,Hindi,6.805,0.0,0
937941,Shelby Oaks,2025,Terror,Estados Unidos,Ingles,6.802,0.0,0
937941,Shelby Oaks,2025,Misterio,Estados Unidos,Ingles,6.802,0.0,0
937941,Shelby Oaks,2025,Suspenso,Estados Unidos,Ingles,6.802,0.0,0
999243,Hell of a Summer,2025,Terror,Estados Unidos,Ingles,6.793,0.0,0
999243,Hell of a Summer,2025,Comedia,Estados Unidos,Ingles,6.793,0.0,0
1019871,Little Trouble Girls,2025,Drama,Croatia,Esloveno,6.781,0.0,0
959596,Maldoror,2025,Suspenso,Belgica,Frances,6.767,6.75,32
959596,Maldoror,2025,Crimen,Belgica,Frances,6.767,6.75,32
959596,Maldoror,2025,Drama,Belgica,Frances,6.767,6.75,32
1186563,The Friend,2025,Drama,Estados Unidos,Ingles,6.757,0.0,0
1422052,Descendent,2025,Drama,Estados Unidos,Ingles,6.749,0.0,0
1422052,Descendent,2025,Terror,Estados Unidos,Ingles,6.749,0.0,0
1422052,Descendent,2025,Misterio,Estados Unidos,Ingles,6.749,0.0,0
1422052,Descendent,2025,Ciencia Ficcion,Estados Unidos,Ingles,6.749,0.0,0
1038938,Werewolf Game,2025,Terror,Estados Unidos,Ingles,6.747,0.0,0
1038938,Werewolf Game,2025,Misterio,Estados Unidos,Ingles,6.747,0.0,0
1038938,Werewolf Game,2025,Suspenso,Estados Unidos,Ingles,6.747,0.0,0
1232569,Pinocchio: Unstrung,2025,Terror,Reino Unido,Ingles,6.744,0.0,0
1427118,WWE Royal Rumble 2025 Kickoff,2025,Sin informacion,Sin informacion,Ingles,6.723,0.0,0
1424950,The Doom Busters,2025,Terror,Reino Unido,Ingles,6.72,0.0,0
1424950,The Doom Busters,2025,Comedia,Reino Unido,Ingles,6.72,0.0,0
1422013,Outerlands,2025,Drama,Estados Unidos,Ingles,6.689,0.0,0
1434792,We Love Bridget Jones: All the Laughter and More,2025,Sin informacion,Sin informacion,Ingles,6.687,0.0,0
1288577,Fake Dad,2025,Drama,China,Chino,6.677,5.5,4
1288577,Fake Dad,2025,Comedia,China,Chino,6.677,5.5,4
1127143,Mama,2025,Terror,Indonesia,Indonesio,6.672,5.5,3
1127143,Mama,2025,Suspenso,Indonesia,Indonesio,6.672,5.5,3
1127143,Mama,2025,Drama,Indonesia,Indonesio,6.672,5.5,3
1436569,Corpo Vil,2025,Terror,Brasil,Portugues,6.667,0.0,0
1414157,Reality Bites: A Hannah Swensen Mystery,2025,Misterio,Canada,Ingles,6.651,8.3,3
1414157,Reality Bites: A Hannah Swensen Mystery,2025,Drama,Canada,Ingles,6.651,8.3,3
1414157,Reality Bites: A Hannah Swensen Mystery,2025,TV Movie,Canada,Ingles,6.651,8.3,3
1426260,Extras for Chasing The Dragon,2025,Accion,China,Chino,6.628,1.0,1
1426260,Extras for Chasing The Dragon,2025,Crimen,China,Chino,6.628,1.0,1
1426260,Extras for Chasing The Dragon,2025,Drama,China,Chino,6.628,1.0,1
1426883,Artesanos,2025,Documental,Dominican Republic,Espanol,6.617,0.0,0
1034674,Hello Madness,2025,Comedia,Francia,Frances,6.588,7.0,1
1034674,Hello Madness,2025,Drama,Francia,Frances,6.588,7.0,1
1422037,We Are Storror,2025,Documental,Estados Unidos,Ingles,6.587,0.0,0
1422037,We Are Storror,2025,Accion,Estados Unidos,Ingles,6.587,0.0,0
1405954,Bastard Toadflax,2025,Accion,Estados Unidos,Ingles,6.577,0.0,0
1430980,Land With No Rider,2025,Documental,Estados Unidos,Ingles,6.576,0.0,0
1436944,"Freiheit im Herzen – Lasst es uns eilig haben, menschlich zu sein",2025,Documental,Sin informacion,Ingles,6.573,0.0,0
1438774,TPMP ! Toute la verite,2025,Sin informacion,Francia,Frances,6.568,0.0,0
1136349,Summer Illusion,2025,Drama,Espana,Espanol,6.566,0.0,0
1428960,Masterpiece,2025,Sin informacion,Sin informacion,Ingles,6.56,0.0,0
1241934,Mob Cops,2025,Crimen,Estados Unidos,Ingles,6.559,0.0,0
